pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
106.1,-96.4,180.0,bottom,R72,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,301,smt
108.779166,-85.362483,0.0,top,R73,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4.99k,smt
104.281783,-76.857483,90.0,top,R74,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4.99k,smt
115.246666,-85.362483,0.0,top,R75,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4.99k,smt
104.281783,-73.284283,-90.0,top,R76,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4.99k,smt
101.846666,-76.857483,-90.0,bottom,R77,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,360k,smt
101.846666,-73.284283,-90.0,bottom,R78,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,360k,smt
108.779166,-81.892183,0.0,top,R79,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4.99k,smt
115.246666,-81.892183,0.0,top,R80,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4.99k,smt
117.8,-98.504,0.0,top,R81,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,50,smt
117.8,-94.152,0.0,top,R82,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,50,smt
117.8,-87.624,0.0,top,R83,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,50,smt
117.8,-89.8,0.0,top,R84,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,50,smt
117.8,-91.976,0.0,top,R85,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,50,smt
117.8,-96.328,0.0,top,R86,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,50,smt
119.1,-73.6,-90.0,top,R87,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4.99k,smt
109.0,-67.184283,0.0,top,R88,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4.99k,smt
115.314166,-67.262483,180.0,top,R89,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4.99k,smt
135.58,-117.4,180.0,bottom,R90,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,100,smt
109.719166,-66.062483,0.0,bottom,R91,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1K,smt
159.6,-112.4375,90.0,bottom,R92,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,100,smt
